producto_id,nombre,categoria,subcategoria,proveedor_id,unidad_medida
1,Ese Papeleria,Bazar,Papeleria,1,kg
2,Aquellas Verduras,Congelados,Verduras,14,kg
3,Argentina Snacks,Alimentacion,Snacks,5,pack
4,Tipos Electronica,Bazar,Electronica,3,l
5,Español Verduras,Congelados,Verduras,11,l
6,Buenos Textil,Bazar,Textil,11,ud
7,Varios Charcuteria,Frescos,Charcuteria,3,kg
8,Análisis Alcohol,Bebidas,Alcohol,7,l
9,Zonas Textil,Bazar,Textil,9,kg
10,Mientras Electronica,Bazar,Electronica,14,ud
11,Finalmente Refrescos,Bebidas,Refrescos,13,l
12,Material Lavanderia,Limpieza,Lavanderia,2,kg
13,Falta Charcuteria,Frescos,Charcuteria,6,kg
14,Económica Electronica,Bazar,Electronica,7,pack
15,Trata Agua,Bebidas,Agua,3,kg
16,Hechos Textil,Bazar,Textil,9,l
17,Capital Textil,Bazar,Textil,7,pack
18,Iba Verduras,Congelados,Verduras,3,pack
19,Barcelona Lacteos,Alimentacion,Lacteos,14,ud
20,Quería Zumos,Bebidas,Zumos,13,pack
21,Nivel Carniceria,Frescos,Carniceria,7,pack
22,Jóvenes Fruteria,Frescos,Fruteria,9,l
23,Momento Carniceria,Frescos,Carniceria,11,ud
24,Tipo Textil,Bazar,Textil,13,l
25,Salud Electronica,Bazar,Electronica,2,l
26,Pablo Hogar,Limpieza,Hogar,8,ud
27,Razón Textil,Bazar,Textil,5,kg
28,Acciones Carniceria,Frescos,Carniceria,14,l
29,Materia Textil,Bazar,Textil,10,kg
30,Particular Agua,Bebidas,Agua,13,kg
31,Cual Charcuteria,Frescos,Charcuteria,15,ud
32,Blanco Fruteria,Frescos,Fruteria,8,ud
33,B Conservas,Alimentacion,Conservas,15,l
34,Llegar Refrescos,Bebidas,Refrescos,4,ud
35,Diferentes Snacks,Alimentacion,Snacks,14,ud
36,Cuales Carniceria,Frescos,Carniceria,3,pack
37,Salida Carniceria,Frescos,Carniceria,5,pack
38,De Zumos,Bebidas,Zumos,12,l
39,Cosa Higiene,Limpieza,Higiene,11,l
40,Cuanto Higiene,Limpieza,Higiene,8,ud
41,Acuerdo Zumos,Bebidas,Zumos,2,l
42,Primeros Cereales,Alimentacion,Cereales,9,kg
43,Puerto Carniceria,Frescos,Carniceria,1,ud
44,Podemos Textil,Bazar,Textil,1,kg
45,Parecía Lacteos,Alimentacion,Lacteos,14,l
46,América Cereales,Alimentacion,Cereales,4,l
47,Proyecto Electronica,Bazar,Electronica,4,kg
48,Nuestros Textil,Bazar,Textil,10,pack
49,Grupos Alcohol,Bebidas,Alcohol,13,pack
50,Autoridades Refrescos,Bebidas,Refrescos,2,pack
51,Estados Pescado,Congelados,Pescado,7,pack
52,Pública Papeleria,Bazar,Papeleria,11,ud
53,González Snacks,Alimentacion,Snacks,12,l
54,Aspectos Panaderia,Alimentacion,Panaderia,4,kg
55,Carne Fruteria,Frescos,Fruteria,3,pack
56,J Agua,Bebidas,Agua,8,kg
57,Cámara Snacks,Alimentacion,Snacks,13,ud
58,Texto Cereales,Alimentacion,Cereales,14,ud
59,Cuenta Panaderia,Alimentacion,Panaderia,3,pack
60,Trabajadores Lavanderia,Limpieza,Lavanderia,4,pack
61,Tan Panaderia,Alimentacion,Panaderia,7,ud
62,Cabeza Lavanderia,Limpieza,Lavanderia,15,pack
63,Decisión Pescado,Congelados,Pescado,12,pack
64,Suelo Zumos,Bebidas,Zumos,5,kg
65,Opinión Cereales,Alimentacion,Cereales,12,ud
66,Palabras Electronica,Bazar,Electronica,1,ud
67,Sido Fruteria,Frescos,Fruteria,9,kg
68,Fútbol Cereales,Alimentacion,Cereales,2,kg
69,Hicieron Cereales,Alimentacion,Cereales,2,kg
70,Cierta Hogar,Limpieza,Hogar,15,kg
71,San Charcuteria,Frescos,Charcuteria,1,ud
72,Francia Higiene,Limpieza,Higiene,10,l
73,Algún Verduras,Congelados,Verduras,11,l
74,Realidad Agua,Bebidas,Agua,7,kg
75,Mira Textil,Bazar,Textil,5,pack
76,Cualquier Verduras,Congelados,Verduras,1,pack
77,Debe Charcuteria,Frescos,Charcuteria,2,ud
78,Sus Carniceria,Frescos,Carniceria,9,l
79,Hasta Agua,Bebidas,Agua,15,ud
80,Obra Agua,Bebidas,Agua,5,kg
81,Efecto Higiene,Limpieza,Higiene,12,l
82,Objetivo Charcuteria,Frescos,Charcuteria,9,ud
83,Operación Textil,Bazar,Textil,5,ud
84,Plazo Agua,Bebidas,Agua,2,ud
85,E Textil,Bazar,Textil,3,l
86,Niño Precocinados,Congelados,Precocinados,4,l
87,Medios Agua,Bebidas,Agua,9,pack
88,Pequeña Verduras,Congelados,Verduras,2,pack
89,Siquiera Verduras,Congelados,Verduras,1,l
90,Función Agua,Bebidas,Agua,3,pack
