compra_id,fecha,tienda_id,proveedor_id,total
1,2023-04-12,1,7,7118.21
2,2023-12-21,5,11,15922.74
3,2024-08-01,12,9,8036.21
4,2024-10-16,20,7,16778.61
5,2024-08-24,18,3,4086.05
6,2024-09-20,12,4,18293.97
7,2024-09-03,13,9,4186.14
8,2023-12-12,7,13,12006.86
9,2024-05-24,1,11,6883.1
10,2025-12-01,15,12,13772.12
11,2024-06-07,2,7,7206.37
12,2025-12-01,4,11,9573.19
13,2025-04-19,7,6,12220.52
14,2025-11-13,3,13,4017.0
15,2024-08-18,2,14,9060.64
16,2023-07-10,9,15,14504.58
17,2023-11-23,2,14,9756.96
18,2023-09-25,20,1,12407.36
19,2025-06-05,20,2,16684.52
20,2024-04-26,13,14,5520.43
21,2023-02-06,16,12,4866.24
22,2024-02-28,17,9,16801.43
23,2023-08-06,12,12,1518.44
24,2025-07-25,13,4,11538.7
25,2025-10-18,17,3,5123.03
26,2023-09-20,6,12,15271.45
27,2025-03-25,8,5,13867.74
28,2024-08-18,7,10,21274.42
29,2023-10-25,1,7,3177.77
30,2023-03-08,10,4,14382.36
31,2025-02-20,2,15,14367.58
32,2025-07-08,7,5,5130.09
33,2024-06-06,19,14,4218.39
34,2024-09-08,20,14,6997.52
35,2024-08-24,11,6,10858.36
36,2024-10-19,8,1,7591.14
37,2023-01-16,18,9,15399.93
38,2024-04-11,18,2,14261.12
39,2025-10-26,3,6,6537.63
40,2023-11-17,1,8,18937.69
41,2024-09-16,18,2,3877.72
42,2023-04-22,19,14,11648.64
43,2024-09-18,11,10,23806.4
44,2023-06-17,6,11,10529.64
45,2025-08-24,18,5,22411.35
46,2025-09-17,5,12,4499.26
47,2025-12-03,11,2,9817.78
48,2024-07-29,3,9,8821.61
49,2024-03-07,16,8,15021.51
50,2024-08-03,1,15,4996.78
51,2024-01-08,19,14,11410.84
52,2023-03-21,16,15,12877.62
53,2025-05-21,19,2,12960.35
54,2025-12-06,1,10,6651.05
55,2024-06-03,14,11,10893.84
56,2024-12-06,10,10,16098.95
57,2023-06-30,20,7,5965.32
58,2023-04-28,10,12,12660.09
59,2023-12-14,8,10,10524.01
60,2025-04-07,7,8,15715.47
61,2025-08-01,15,11,19435.85
62,2024-01-01,11,2,7794.02
63,2023-06-10,4,2,16167.38
64,2023-09-04,6,8,16933.59
65,2025-03-31,12,6,8266.25
66,2023-01-20,5,8,5885.55
67,2023-12-01,4,12,3191.94
68,2024-06-11,18,9,10546.25
69,2023-06-10,15,15,11104.33
70,2024-07-01,10,12,8783.32
71,2023-04-21,16,9,5632.47
72,2024-04-14,13,5,10910.26
73,2024-07-11,18,15,16935.2
74,2023-11-15,14,5,5353.36
75,2025-02-04,1,9,8085.04
76,2024-07-10,8,9,10968.55
77,2024-10-18,16,4,3495.79
78,2023-01-17,15,12,4031.62
79,2024-06-29,5,1,13495.55
80,2024-03-02,4,9,18638.99
81,2025-06-08,4,4,7095.75
82,2023-11-19,3,4,15302.46
83,2025-02-12,1,12,14118.05
84,2023-11-25,9,14,6659.02
85,2023-02-08,6,15,12540.62
86,2023-03-06,5,3,13149.26
87,2024-03-28,2,6,16250.97
88,2024-03-18,10,2,15797.7
89,2024-01-05,4,3,20161.73
90,2024-06-04,18,15,7573.49
91,2024-07-19,1,13,11463.72
92,2025-09-15,11,13,16775.31
93,2025-06-08,11,6,3969.18
94,2025-10-30,13,8,4725.01
95,2025-03-28,2,9,15586.41
96,2024-05-11,17,4,3512.22
97,2024-12-06,7,6,13444.94
98,2024-12-04,10,1,23495.86
99,2024-02-16,2,5,17083.43
100,2023-06-30,20,9,10705.72
101,2024-12-21,1,6,12548.04
102,2023-10-09,13,11,11834.55
103,2024-11-05,14,5,12071.69
104,2023-08-31,18,12,11731.93
105,2023-09-27,7,2,8986.79
106,2025-10-25,16,3,19708.53
107,2025-09-30,15,14,28996.8
108,2023-03-22,13,12,23125.4
109,2024-01-04,17,2,17745.38
110,2025-12-08,12,2,22640.53
111,2023-09-27,4,15,13926.2
112,2025-09-01,19,11,4976.07
113,2024-09-03,19,14,15185.34
114,2023-03-15,12,15,2521.76
115,2024-07-16,5,2,19696.61
116,2024-10-10,10,7,17878.11
117,2023-08-31,7,1,12395.5
118,2024-03-10,18,13,4028.68
119,2024-11-13,1,2,10186.46
120,2024-11-17,18,15,9034.26
121,2025-12-30,11,7,11836.55
122,2024-05-01,16,15,4399.22
123,2025-09-17,11,15,26454.35
124,2025-12-02,2,2,15619.84
