linea_compra_id,compra_id,producto_id,cantidad,coste_unitario
1,1,74,64,34.36
2,1,83,67,27.27
3,1,35,176,16.68
4,1,3,184,0.85
5,2,2,67,10.47
6,2,40,192,38.7
7,2,83,80,17.24
8,2,49,99,18.63
9,2,28,129,12.43
10,2,67,169,16.19
11,2,14,11,20.7
12,3,88,37,19.53
13,3,44,80,25.8
14,3,36,76,26.42
15,3,84,86,7.94
16,3,67,71,36.04
17,4,18,194,1.51
18,4,64,85,10.75
19,4,54,113,15.84
20,4,5,159,28.47
21,4,74,58,14.06
22,4,29,185,21.62
23,4,61,181,14.66
24,4,39,53,33.71
25,5,61,42,29.77
26,5,72,56,37.9
27,5,43,177,4.03
28,6,43,105,10.79
29,6,38,128,34.12
30,6,61,23,34.72
31,6,75,158,37.8
32,6,10,130,35.63
33,6,65,40,34.77
34,7,7,48,5.93
35,7,26,97,16.66
36,7,73,127,6.16
37,7,24,30,19.76
38,7,81,55,12.88
39,7,8,11,18.36
40,8,21,135,31.52
41,8,12,43,24.77
42,8,82,119,16.43
43,8,62,108,0.68
44,8,69,61,29.36
45,8,2,92,30.4
46,8,68,58,1.21
47,9,89,98,12.83
48,9,14,108,20.38
49,9,40,52,3.08
50,9,6,86,37.96
51,10,68,96,17.63
52,10,88,44,14.04
53,10,63,101,30.13
54,10,22,113,1.26
55,10,29,196,39.4
56,10,28,197,1.37
57,10,65,53,5.36
58,11,80,22,23.96
59,11,7,179,4.77
60,11,3,22,27.75
61,11,54,123,15.52
62,11,71,74,19.24
63,11,20,62,27.96
64,11,81,12,12.39
65,12,80,165,28.18
66,12,54,36,20.71
67,12,80,40,11.67
68,12,14,137,8.35
69,12,26,77,33.34
70,13,21,20,22.15
71,13,27,186,37.36
72,13,43,70,0.61
73,13,86,32,36.32
74,13,74,181,20.02
75,14,13,75,25.95
76,14,59,85,10.93
77,14,7,35,32.62
78,15,87,90,17.33
79,15,15,34,34.12
80,15,6,12,34.15
81,15,85,175,7.24
82,15,46,122,38.23
83,16,44,56,5.0
84,16,52,126,11.24
85,16,50,186,34.1
86,16,54,176,35.5
87,16,22,38,5.73
88,17,54,161,19.57
89,17,73,183,17.81
90,17,79,107,31.28
91,18,63,38,35.56
92,18,57,21,3.0
93,18,84,90,0.99
94,18,87,144,30.82
95,18,74,195,22.82
96,18,86,96,21.0
97,19,32,133,14.16
98,19,87,174,15.7
99,19,72,166,2.66
100,19,83,50,20.47
101,19,61,136,34.84
102,19,10,135,13.17
103,19,43,81,2.49
104,19,29,150,25.91
105,20,59,123,32.15
106,20,58,32,34.34
107,20,58,90,5.19
108,21,52,115,1.92
109,21,71,10,33.12
110,21,78,168,25.68
111,22,86,126,38.04
112,22,47,23,32.76
113,22,59,94,22.63
114,22,80,163,19.19
115,22,85,103,28.78
116,22,15,34,30.49
117,22,29,10,13.98
118,22,82,84,22.13
119,23,22,136,6.05
120,23,53,37,10.54
121,23,26,58,5.27
122,24,44,37,30.41
123,24,6,172,33.58
124,24,76,41,31.0
125,24,58,127,26.51
126,25,68,198,2.42
127,25,56,159,19.58
128,25,66,55,27.83
129,26,50,178,24.22
130,26,42,139,35.31
131,26,54,165,36.68
132,27,38,125,32.29
133,27,18,115,24.3
134,27,66,86,33.8
135,27,71,90,28.62
136,27,71,171,9.09
137,28,45,182,5.74
138,28,84,55,20.4
139,28,89,173,13.23
140,28,15,100,22.71
141,28,75,156,37.74
142,28,54,182,30.04
143,28,69,83,35.16
144,28,55,13,21.15
145,29,86,24,8.4
146,29,21,83,27.49
147,29,19,25,27.78
148,30,58,36,24.84
149,30,87,199,22.69
150,30,29,200,26.06
151,30,50,70,20.68
152,30,90,83,27.87
153,31,54,185,12.85
154,31,71,23,1.01
155,31,33,61,25.01
156,31,57,67,36.5
157,31,83,104,30.33
158,31,70,199,24.33
