venta_id,fecha,tienda_id,empleado_id,cliente_id,metodo_pago,total
1,2025-03-23,12,173,0,Tarjeta,505.17
2,2024-09-28,10,135,2604,Otros,1679.65
3,2025-06-29,17,90,2965,Tarjeta,932.12
4,2024-02-12,15,5,0,Efectivo,1420.67
5,2024-07-24,11,182,744,Tarjeta,1577.19
6,2024-01-20,5,184,0,Bizum,1824.67
7,2024-08-12,15,16,667,Bizum,1043.73
8,2024-11-23,9,172,2722,Tarjeta,1456.93
9,2024-08-14,7,182,1437,Efectivo,339.67
10,2024-08-08,2,112,0,Bizum,1519.36
11,2024-11-16,13,19,0,Tarjeta,463.19
12,2023-06-27,16,113,2931,Bizum,401.31
13,2025-04-28,1,12,634,Efectivo,1108.83
14,2023-05-01,8,118,2193,Otros,255.7
15,2023-01-22,18,178,217,Otros,245.23
16,2024-04-06,14,153,989,Efectivo,125.0
17,2025-02-21,17,155,2811,Bizum,454.32
18,2024-03-26,15,160,2134,Otros,342.64
19,2025-10-14,7,118,2782,Efectivo,1510.35
20,2024-03-11,2,101,0,Efectivo,1277.4
21,2024-08-23,11,168,0,Efectivo,874.28
22,2025-04-13,12,39,2975,Efectivo,1886.36
23,2025-06-10,17,42,202,Efectivo,1357.4
24,2025-09-27,11,114,902,Bizum,243.07
25,2024-05-01,20,29,2772,Bizum,1062.89
26,2024-03-26,20,53,1593,Tarjeta,188.05
27,2025-10-09,3,32,1127,Tarjeta,683.35
28,2024-05-18,8,116,0,Bizum,1325.69
29,2025-02-18,7,128,2197,Bizum,1297.95
30,2023-06-05,6,36,181,Otros,684.45
31,2023-11-23,8,19,0,Bizum,2232.59
32,2023-08-26,19,63,0,Tarjeta,1400.76
33,2025-07-04,17,82,0,Bizum,427.33
34,2025-01-31,11,194,526,Bizum,318.58
35,2025-04-14,10,47,0,Bizum,1421.39
36,2023-08-10,14,104,2703,Otros,105.79
37,2023-03-22,20,4,375,Efectivo,40.91
38,2024-10-11,15,119,0,Efectivo,310.39
39,2024-09-19,12,8,1324,Otros,933.78
40,2023-10-01,20,28,0,Tarjeta,699.74
41,2024-03-23,9,153,854,Efectivo,361.05
42,2023-05-26,2,174,364,Bizum,1674.86
43,2023-01-15,18,18,2574,Tarjeta,2215.79
44,2023-08-27,18,20,2207,Tarjeta,614.5
45,2024-06-23,15,49,1600,Tarjeta,971.17
46,2024-02-04,19,150,918,Otros,36.14
47,2023-06-20,3,56,0,Efectivo,521.47
48,2023-11-19,16,178,743,Efectivo,222.56
49,2023-02-28,12,126,1194,Otros,89.83
50,2024-06-30,5,164,0,Tarjeta,1336.35
51,2023-08-10,4,11,336,Tarjeta,338.46
52,2025-02-04,8,122,202,Efectivo,703.02
53,2023-06-13,16,197,0,Otros,1885.25
54,2024-11-06,10,81,1708,Efectivo,1140.71
55,2025-01-22,16,125,1184,Otros,1131.3
56,2023-11-14,9,187,1060,Otros,496.78
57,2024-01-12,12,117,988,Tarjeta,11.55
58,2023-11-15,8,112,1415,Otros,597.17
59,2025-03-16,15,74,290,Tarjeta,1132.8
60,2025-09-03,19,54,1388,Tarjeta,2250.18
61,2023-07-25,13,66,2037,Otros,739.82
62,2023-04-14,3,29,0,Efectivo,1504.23
63,2025-04-12,20,134,0,Bizum,274.53
64,2024-01-04,2,89,1396,Tarjeta,1773.3
65,2025-12-26,11,148,1038,Otros,1260.52
66,2025-05-03,11,48,2512,Bizum,793.11
67,2024-03-03,16,79,1431,Efectivo,660.16
68,2024-06-12,13,14,1989,Efectivo,512.26
69,2025-09-23,5,42,406,Efectivo,880.64
70,2023-08-22,7,48,2316,Efectivo,339.72
71,2024-05-19,10,76,0,Efectivo,980.87
72,2025-07-14,12,182,0,Otros,1576.42
73,2025-12-29,14,136,993,Efectivo,767.52
74,2024-01-17,2,72,1630,Bizum,2025.27
75,2023-02-07,3,88,0,Bizum,1654.53
76,2025-06-29,14,43,0,Tarjeta,1852.73
77,2024-02-21,8,41,540,Otros,676.8
78,2025-01-26,7,99,1232,Otros,1498.51
79,2023-09-17,5,135,1138,Bizum,808.97
80,2025-06-06,1,17,1348,Otros,1380.33
81,2024-02-13,12,122,2728,Tarjeta,798.5
82,2023-03-19,19,179,2094,Tarjeta,325.99
83,2024-04-25,17,186,0,Efectivo,1192.73
84,2025-09-09,16,37,1435,Efectivo,127.49
85,2025-06-24,10,143,2857,Tarjeta,549.23
86,2025-12-22,9,62,2205,Tarjeta,1554.17
87,2023-02-25,17,105,2680,Bizum,1225.92
88,2023-10-14,1,163,1204,Tarjeta,1539.26
89,2023-12-19,16,181,409,Tarjeta,1958.97
90,2024-12-24,1,90,0,Tarjeta,1559.04
91,2024-01-14,19,149,2770,Bizum,1414.1
92,2024-01-01,10,159,582,Tarjeta,1703.56
93,2023-07-18,1,192,1279,Otros,1309.91
94,2023-06-05,9,64,2853,Efectivo,533.63
95,2023-11-29,12,193,2252,Efectivo,259.96
96,2025-12-02,1,181,0,Bizum,1411.47
97,2024-04-28,20,149,1653,Tarjeta,1617.79
98,2024-05-22,6,166,2570,Efectivo,1218.2
99,2024-10-18,16,4,0,Bizum,925.68
100,2025-11-20,18,44,1454,Tarjeta,797.12
101,2024-04-08,17,28,1626,Bizum,1247.92
102,2023-06-25,2,95,2815,Otros,77.88
103,2025-06-05,19,112,2025,Tarjeta,1468.78
104,2025-08-14,7,169,0,Bizum,1451.74
105,2025-07-23,11,13,1635,Efectivo,2103.42
106,2024-10-02,19,168,2540,Bizum,966.86
107,2023-02-20,2,185,1769,Efectivo,1787.79
108,2025-02-23,9,34,0,Efectivo,856.89
109,2024-12-23,17,16,713,Tarjeta,851.74
110,2025-01-09,12,18,1011,Bizum,2066.22
111,2025-09-11,10,185,0,Efectivo,1080.31
112,2025-12-27,15,169,269,Otros,458.81
113,2024-08-05,6,65,1638,Efectivo,1113.6
114,2025-03-05,10,126,0,Efectivo,1854.62
115,2023-04-16,2,102,110,Efectivo,424.96
116,2024-06-18,7,114,958,Otros,1814.7
117,2023-01-27,1,61,141,Otros,1109.79
118,2024-10-15,8,190,888,Efectivo,214.69
119,2023-09-20,19,114,271,Bizum,672.46
120,2025-01-20,20,132,0,Otros,1565.81
121,2025-02-21,2,100,0,Efectivo,432.17
122,2024-01-10,6,25,2997,Efectivo,1681.44
123,2023-11-26,13,161,0,Efectivo,629.1
124,2023-01-13,19,74,1179,Bizum,1366.91
125,2025-03-04,13,39,934,Tarjeta,1270.49
126,2024-06-29,4,193,666,Efectivo,696.42
127,2024-04-08,14,96,2886,Bizum,893.5
128,2025-06-25,9,170,2237,Otros,442.88
129,2024-12-13,12,33,0,Tarjeta,1664.57
130,2024-12-23,7,82,2198,Tarjeta,144.12
131,2024-11-26,20,136,102,Otros,1738.12
132,2024-11-12,19,150,1719,Tarjeta,17.32
133,2023-11-22,18,81,2278,Bizum,1769.74
134,2023-01-02,16,69,1043,Bizum,384.29
135,2025-06-12,17,41,0,Otros,412.08
136,2023-11-28,18,126,2442,Bizum,1797.62
137,2024-04-30,20,89,422,Tarjeta,1451.9
138,2023-03-29,9,171,1492,Tarjeta,545.2
139,2024-10-17,13,22,1755,Otros,1560.09
140,2023-01-01,16,77,0,Bizum,32.22
141,2025-05-06,2,17,623,Tarjeta,1551.12
142,2024-12-04,9,175,0,Efectivo,484.98
143,2024-10-28,14,109,1173,Bizum,1326.37
144,2025-12-04,14,180,491,Efectivo,1721.18
145,2025-11-27,11,144,2682,Efectivo,312.31
146,2025-09-07,17,61,2848,Otros,132.3
147,2024-04-05,3,9,1592,Otros,1075.66
148,2025-10-25,1,145,137,Bizum,1423.1
149,2025-01-03,13,191,1086,Otros,772.82
150,2025-07-29,9,96,2164,Efectivo,1316.86
151,2025-05-18,16,200,981,Tarjeta,1473.11
152,2023-09-24,3,116,549,Tarjeta,1658.24
153,2023-01-11,1,42,2390,Bizum,171.16
154,2024-04-22,12,15,1851,Bizum,143.37
155,2023-11-28,19,45,2815,Otros,534.0
156,2023-04-23,6,176,132,Efectivo,665.28
157,2025-10-30,7,40,0,Otros,1881.93
158,2024-07-29,12,200,2101,Otros,596.86
159,2024-03-17,1,176,1520,Bizum,217.82
160,2024-08-15,16,166,0,Tarjeta,1067.46
161,2025-05-15,6,133,0,Otros,1397.0
162,2023-01-29,5,127,1764,Tarjeta,157.03
163,2025-11-09,1,188,0,Bizum,1073.28
164,2023-05-23,1,71,404,Efectivo,1787.06
165,2023-03-05,5,137,0,Efectivo,1181.36
166,2023-12-21,12,36,0,Efectivo,2007.84
167,2023-08-19,5,68,2633,Bizum,181.64
168,2025-07-28,5,124,0,Efectivo,42.32
169,2024-06-29,7,156,688,Tarjeta,589.35
170,2023-12-10,13,174,275,Bizum,1682.54
171,2023-01-22,15,28,851,Tarjeta,1535.01
172,2023-05-01,3,4,528,Bizum,1646.8
173,2025-04-12,19,191,0,Otros,1511.4
174,2023-02-26,1,25,1079,Otros,559.05
175,2025-08-15,8,188,573,Efectivo,403.23
176,2023-09-18,18,152,543,Tarjeta,975.71
177,2023-11-23,3,119,1807,Efectivo,1490.95
178,2024-06-15,6,151,503,Bizum,1880.35
179,2025-06-25,5,9,0,Bizum,229.64
180,2024-06-23,15,192,0,Efectivo,1085.15
181,2023-01-03,8,68,469,Efectivo,171.19
182,2025-09-24,7,118,2446,Efectivo,582.99
183,2023-11-19,9,152,2064,Bizum,1003.82
184,2025-09-30,7,148,2860,Bizum,1329.77
185,2023-12-29,8,195,0,Otros,2130.38
186,2024-07-27,9,92,0,Efectivo,1263.54
187,2023-05-01,8,133,0,Tarjeta,13.47
188,2023-04-14,3,29,201,Efectivo,1593.48
189,2023-04-16,11,170,717,Bizum,1032.16
190,2025-06-07,4,11,0,Tarjeta,1086.49
191,2023-01-20,19,189,0,Bizum,779.94
192,2024-01-19,17,194,522,Otros,222.78
193,2024-02-12,3,119,0,Bizum,2655.2
194,2025-12-02,13,176,0,Otros,715.84
195,2023-05-17,3,55,532,Bizum,1925.23
196,2025-04-07,10,164,0,Tarjeta,1380.48
197,2024-11-20,3,195,1118,Otros,1897.01
198,2024-04-16,18,187,0,Tarjeta,395.28
199,2023-08-19,9,71,616,Tarjeta,1014.97
200,2025-10-06,4,37,1374,Tarjeta,299.65
201,2023-12-12,11,107,735,Tarjeta,1870.28
202,2025-09-12,20,10,2761,Bizum,1370.68
203,2025-04-04,6,62,0,Otros,265.29
204,2024-02-27,1,132,2120,Tarjeta,75.72
205,2024-07-31,9,56,1846,Efectivo,335.3
206,2025-08-17,17,20,0,Tarjeta,49.83
207,2024-09-11,2,108,1247,Efectivo,161.61
208,2025-09-23,2,109,0,Tarjeta,316.96
209,2024-08-26,2,79,0,Otros,876.43
210,2025-08-31,12,144,1217,Tarjeta,1730.05
211,2024-05-05,2,120,0,Otros,697.78
212,2025-02-24,19,17,0,Efectivo,1731.94
213,2023-06-30,17,101,2800,Otros,2527.68
214,2023-10-11,19,51,0,Otros,784.7
215,2025-02-16,18,164,765,Efectivo,311.23
216,2025-01-29,5,145,1360,Tarjeta,458.46
217,2023-05-03,13,139,2980,Otros,739.21
218,2023-12-23,17,159,0,Otros,1114.87
219,2025-12-04,16,100,2454,Otros,1262.02
220,2023-02-27,4,157,725,Efectivo,1174.86
221,2024-04-27,1,110,1884,Efectivo,1752.34
222,2025-11-16,12,17,2171,Efectivo,698.87
223,2023-01-29,3,30,2190,Tarjeta,1160.87
224,2023-04-23,20,109,0,Tarjeta,1046.66
225,2025-04-02,20,96,0,Otros,1405.06
226,2025-10-07,1,108,2543,Efectivo,112.56
227,2025-08-09,1,160,1448,Bizum,1387.12
228,2025-11-09,17,40,30,Bizum,1148.99
229,2023-03-30,17,161,603,Bizum,834.81
230,2023-06-06,14,134,2804,Otros,51.8
231,2023-10-08,6,38,0,Bizum,1753.62
232,2023-09-08,1,146,543,Tarjeta,614.74
233,2023-06-12,7,76,256,Efectivo,1104.95
234,2023-12-14,11,79,2507,Efectivo,2122.27
235,2024-11-01,17,36,0,Tarjeta,449.1
236,2024-05-20,5,100,0,Otros,985.43
237,2023-04-02,3,4,59,Bizum,408.83
238,2024-04-13,9,110,1642,Efectivo,223.79
239,2023-05-07,16,165,2075,Bizum,847.92
240,2025-05-03,1,84,0,Otros,1851.72
241,2023-04-27,11,55,315,Otros,1957.14
242,2024-12-29,14,60,2050,Bizum,652.29
243,2023-07-11,3,109,1560,Tarjeta,1012.0
244,2023-09-01,6,129,0,Otros,82.67
245,2023-03-27,19,182,1110,Bizum,938.5
246,2024-05-26,5,51,2618,Bizum,746.25
247,2023-06-24,16,60,0,Bizum,1116.66
248,2023-07-05,17,162,2938,Tarjeta,1471.4
249,2024-09-11,2,85,137,Efectivo,1323.15
250,2025-12-29,20,157,1913,Tarjeta,788.16
251,2024-12-30,6,176,0,Otros,1136.76
252,2023-12-16,3,9,0,Bizum,1710.42
253,2025-07-11,7,15,1416,Otros,273.2
254,2025-07-24,20,112,2007,Tarjeta,77.45
255,2024-12-02,12,200,0,Tarjeta,939.92
256,2023-05-22,18,157,42,Bizum,1144.84
257,2023-11-17,9,76,1767,Tarjeta,972.98
258,2023-03-15,19,57,0,Otros,866.22
259,2025-06-18,2,117,0,Otros,3151.08
260,2024-08-07,9,112,968,Bizum,577.35
261,2023-02-20,10,78,39,Tarjeta,517.76
262,2025-12-26,1,68,0,Bizum,1514.34
263,2024-05-27,20,142,2587,Tarjeta,551.82
264,2024-07-20,6,172,0,Otros,1800.5
265,2025-01-23,8,113,0,Otros,1354.35
266,2024-12-21,3,20,1293,Tarjeta,1787.5
267,2024-09-02,11,104,2611,Efectivo,2210.32
268,2023-08-08,18,136,0,Bizum,151.45
269,2023-06-16,14,186,707,Efectivo,511.89
270,2024-06-20,10,158,1846,Efectivo,1555.75
271,2023-03-05,11,12,2809,Tarjeta,312.25
272,2023-03-24,17,199,2006,Efectivo,2483.0
273,2023-05-25,5,99,2733,Tarjeta,873.98
274,2024-10-24,6,110,1802,Bizum,2180.9
275,2025-02-15,14,25,1003,Otros,1170.1
276,2025-09-02,6,20,0,Otros,1299.09
277,2023-10-30,17,70,2601,Tarjeta,523.41
278,2024-01-24,12,111,0,Otros,936.91
279,2024-06-20,11,88,967,Tarjeta,2280.05
280,2025-11-07,16,186,1860,Efectivo,1054.39
281,2023-11-16,11,87,763,Efectivo,1627.46
282,2025-03-20,5,9,90,Tarjeta,600.55
283,2023-01-05,10,110,2487,Tarjeta,20.88
284,2025-10-30,15,149,0,Tarjeta,190.69
285,2024-11-03,19,126,140,Bizum,277.3
286,2025-05-29,8,1,275,Otros,17.34
287,2024-02-09,2,122,1318,Bizum,1754.53
288,2023-10-19,4,46,0,Bizum,506.32
289,2025-09-23,5,53,484,Tarjeta,395.2
290,2023-03-16,16,15,1836,Tarjeta,655.18
291,2023-06-17,1,11,1090,Tarjeta,1316.17
292,2025-05-11,20,18,2757,Efectivo,365.02
293,2025-08-04,9,137,2747,Tarjeta,805.64
294,2024-01-26,8,76,1300,Tarjeta,884.59
295,2023-11-12,15,135,513,Efectivo,2544.13
296,2024-08-01,20,66,2533,Bizum,328.06
297,2024-10-16,17,150,2997,Tarjeta,1082.45
298,2023-10-27,5,18,1983,Bizum,2207.92
299,2023-02-23,11,42,1097,Tarjeta,1222.79
300,2024-03-14,8,48,194,Otros,196.64
301,2025-08-23,11,120,2230,Bizum,1612.72
302,2024-06-06,11,181,271,Tarjeta,26.7
303,2023-02-05,15,165,2340,Bizum,1964.08
304,2025-12-27,2,15,0,Otros,1554.34
305,2023-03-19,15,164,0,Otros,954.94
306,2023-10-20,19,66,0,Tarjeta,642.99
307,2025-06-27,9,50,0,Efectivo,2107.78
308,2024-08-07,10,87,2985,Tarjeta,1418.56
309,2024-11-22,10,8,0,Efectivo,725.05
310,2023-01-09,20,86,1225,Otros,552.18
311,2025-11-09,6,191,1113,Bizum,1536.86
312,2023-12-31,19,143,973,Tarjeta,501.7
313,2023-10-06,19,87,2499,Tarjeta,1138.25
314,2023-08-12,10,32,2882,Efectivo,418.75
315,2023-09-25,20,117,923,Tarjeta,673.0
316,2025-04-12,16,163,0,Otros,987.04
317,2024-10-30,13,54,2855,Otros,1002.21
318,2025-11-22,9,80,2664,Bizum,441.58
319,2023-10-28,8,196,0,Efectivo,948.34
320,2023-06-26,18,154,1218,Otros,776.1
321,2024-02-29,12,52,690,Bizum,477.8
322,2024-07-19,9,48,1010,Tarjeta,650.46
323,2023-01-15,12,178,0,Efectivo,1098.79
324,2025-02-18,2,49,2099,Otros,428.44
325,2025-08-22,7,142,841,Otros,84.75
326,2024-03-22,3,56,0,Efectivo,915.71
327,2023-11-18,20,105,0,Bizum,1258.73
328,2024-08-05,4,132,0,Bizum,1325.67
329,2023-04-03,7,85,2047,Otros,1997.56
330,2023-10-14,2,95,2054,Otros,729.2
331,2024-10-12,6,69,0,Bizum,52.34
332,2024-04-30,2,124,0,Efectivo,1060.37
333,2023-03-22,15,24,0,Tarjeta,1231.41
334,2023-08-29,14,111,0,Bizum,1727.08
335,2023-10-09,10,194,0,Bizum,948.46
336,2025-07-26,12,8,2280,Efectivo,969.63
337,2023-12-11,18,195,0,Tarjeta,1257.79
338,2023-10-19,5,39,2093,Efectivo,388.15
339,2024-07-05,18,164,0,Bizum,572.72
340,2025-11-28,10,158,2342,Efectivo,519.52
341,2024-12-20,13,44,1175,Otros,21.82
342,2024-04-02,15,33,262,Bizum,1122.02
343,2023-01-08,15,114,1705,Efectivo,765.96
344,2023-07-22,15,197,2160,Tarjeta,646.14
345,2023-07-22,3,133,2457,Otros,1758.61
346,2024-10-20,20,95,617,Tarjeta,1258.1
347,2024-01-24,3,181,2133,Otros,1451.45
348,2023-08-12,5,152,2364,Tarjeta,2029.53
349,2023-07-24,8,135,0,Efectivo,210.83
350,2024-11-29,19,115,2344,Efectivo,672.79
351,2023-05-18,19,36,0,Efectivo,187.0
352,2024-08-07,11,4,0,Bizum,964.02
353,2025-02-15,7,40,0,Tarjeta,611.71
354,2025-07-13,5,65,0,Bizum,1771.58
355,2024-06-16,3,147,1954,Otros,1410.28
356,2024-09-20,1,42,2548,Otros,552.22
357,2025-01-23,16,197,2384,Efectivo,1656.97
358,2025-11-17,18,141,0,Bizum,1634.49
359,2024-04-28,6,59,459,Tarjeta,337.06
360,2025-08-16,1,7,934,Efectivo,490.83
361,2023-10-19,11,166,2300,Efectivo,157.86
362,2024-02-15,6,175,1609,Bizum,952.38
363,2023-06-28,19,197,1455,Bizum,1504.02
364,2025-04-22,9,161,1603,Otros,1208.37
365,2023-10-22,13,59,0,Otros,915.24
366,2025-06-11,13,66,501,Efectivo,746.98
367,2024-07-05,5,99,2829,Efectivo,739.42
368,2024-11-02,10,81,1227,Otros,1396.98
369,2023-04-18,2,97,1118,Tarjeta,1927.4
370,2025-09-11,4,153,2306,Bizum,921.63
371,2023-07-21,9,117,1526,Efectivo,1352.04
372,2024-10-23,1,34,968,Otros,940.54
373,2023-07-10,2,4,2666,Otros,10.75
