tabla,columna,tipo_problema,filas_afectadas,detalle
dim_empleado,salario,nulos,6,
dim_empleado,puesto,inconsistencia_texto,30,
dim_empleado,fecha_contratacion,formato_fecha_inconsistente,40,
dim_cliente,email,nulos,300,
dim_cliente,ciudad,inconsistencia_texto,360,
fact_venta,(fila completa),duplicados_exactos,770,
fact_venta,empleado_id,clave_huerfana,389,
fact_venta,fecha,formato_fecha_inconsistente,19442,
fact_venta,metodo_pago,inconsistencia_texto,7777,
fact_linea_venta,cantidad,outlier_numerico,25,
fact_linea_venta,precio_unitario,outlier_numerico_negativo,15,
fact_linea_venta,producto_id,clave_huerfana,2001,
fact_linea_venta,cantidad,tipo_mezclado_texto,10003,
fact_linea_venta,(fila completa),casi_duplicados,2501,
fact_compra,proveedor_id,clave_huerfana,20,
fact_linea_compra,coste_unitario,nulos,440,
